date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:26	41649/41649	---M-Z	200	added ('OK')	text/html	etag:%2275e9391b05ad71:0%22	https://kb.dubaided.gov.ae/ded/DED%20book1.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/ded/DED%20book1.html	(from https://kb.dubaided.gov.ae/kb/left11.htm)
14:45:27	96768/96768	---M--	200	added ('OK')	application/octet-stream	etag:%220cda96da284d41:0%22	https://kb.dubaided.gov.ae/kb/FDIDubai.oft	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/FDIDubai.oft	(from https://kb.dubaided.gov.ae/kb/left11.htm)
14:45:27	104960/104960	---M--	200	added ('OK')	application/octet-stream	etag:%220a1d0cea084d41:0%22	https://kb.dubaided.gov.ae/kb/DubaiExportRequest.oft	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/DubaiExportRequest.oft	(from https://kb.dubaided.gov.ae/kb/left11.htm)
14:45:27	267107/267107	---M-Z	200	added ('OK')	text/html	etag:%2203a3f20c1b4d51:0%22	https://kb.dubaided.gov.ae/kb/free%20zones.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones.html	(from https://kb.dubaided.gov.ae/kb/left11.htm)
14:45:28	395/395	---M-Z	200	added ('OK')	text/xml	etag:%2206951ff3314d41:0%22	https://kb.dubaided.gov.ae/M_files/filelist.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/M_files/filelist.xml	(from https://kb.dubaided.gov.ae/M.htm)
14:45:28	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Dec%202021%2010:45:27%20GMT	https://kb.dubaided.gov.ae/M_files/editdata.mso	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/M_files/editdata.15.delayed	(from https://kb.dubaided.gov.ae/M.htm)
14:45:28	241/241	---M-Z	200	added ('OK')	text/xml	etag:%2206951ff3314d41:0%22	https://kb.dubaided.gov.ae/M_files/item0001.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/M_files/item0001.xml	(from https://kb.dubaided.gov.ae/M.htm)
14:45:29	3138/3138	---M--	200	added ('OK')	application/vnd.ms-officetheme	etag:%2206951ff3314d41:0%22	https://kb.dubaided.gov.ae/M_files/themedata.thmx	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/M_files/themedata.thmx	(from https://kb.dubaided.gov.ae/M.htm)
14:45:29	314/314	---M-Z	200	added ('OK')	text/xml	etag:%2206951ff3314d41:0%22	https://kb.dubaided.gov.ae/M_files/colorschememapping.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/M_files/colorschememapping.xml	(from https://kb.dubaided.gov.ae/M.htm)
14:45:29	4050/4050	---M--	200	added ('OK')	image/jpeg	etag:%2206951ff3314d41:0%22	https://kb.dubaided.gov.ae/M_files/image002.jpg	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/M_files/image002.jpg	(from https://kb.dubaided.gov.ae/M.htm)
14:45:29	26048/26048	---M--	200	added ('OK')	image/png	etag:%2206951ff3314d41:0%22	https://kb.dubaided.gov.ae/M_files/image004.png	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/M_files/image004.png	(from https://kb.dubaided.gov.ae/M.htm)
