date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:31	314/314	--FM--	200	added ('OK')	application/xml		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_Arabic_files/colorschememapping.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_Arabic_files/colorschememapping.xml	(from )
15:00:31	65287/65287	--FM--	200	added ('OK')	text/html		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_English.html	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/FDI/FDI_Services_English.html	(from )
15:00:31	373/373	--FM--	200	added ('OK')	application/xml		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/filelist.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/filelist.xml	(from )
15:00:31	33376/33376	--FM--	200	added ('OK')	application/x-msmetafile		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/preview.wmf	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/preview.wmf	(from )
15:00:31	1245/1245	--FM--	200	added ('OK')	text/html		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/editdata.html	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/editdata.html	(from )
15:00:31	270/270	--FM--	200	added ('OK')	application/xml		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/item0008.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/item0008.xml	(from )
15:00:31	3086/3086	--FM--	200	added ('OK')	application/thmx		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/themedata.thmx	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/themedata.thmx	(from )
15:00:31	314/314	--FM--	200	added ('OK')	application/xml		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/colorschememapping.xml	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/colorschememapping.xml	(from )
15:00:31	1899/1899	--FM--	200	added ('OK')	image/jpeg		file:///C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/image002.jpg	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/file/C_/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/free%20zones_files/image002.jpg	(from )
15:00:31	53878/53878	U-----	200	untouched ('OK')	text/html	etag:%2233e3d627fbadd71:0%22	https://kb.dubaided.gov.ae/kb/right11.htm	C:/Users/ahmed.farghali/Desktop/httpskb.dubaided.gov.ae/kb/kb.dubaided.gov.ae/kb/right11.html	(from https://kb.dubaided.gov.ae/)
